AMF,Hg_C,Above_Concentration,sd,tukey
Control,0,1.1475,0.13937359864766355,c
Control,25,1.222,0.22709029041330675,c
Control,50,1.325,0.19841034919244183,ac
AMF,0,0.57,0.1319090595827292,b
AMF,25,0.766,0.23522329816580667,ab
AMF,50,1.06,0.15769168230019828,a
