AMF,Hg_C,Root_Content,sd,tukey
Control,0,563.0525,143.5706319493417,a
Control,25,513.254,126.14336320235003,a
Control,50,558.075,127.09683696562503,a
AMF,0,1388.7024999999999,210.79708447936372,b
AMF,25,1273.558,282.18244509536737,b
AMF,50,1321.0025,253.85746635661516,b
