AMF,Hg_C,Transfer_Factor,sd,tukey
Control,0,2.225,1.1571372721793498,a
Control,25,0.188,0.11278297743897348,b
Control,50,0.05,0.016329931618554526,b
AMF,0,2.165,1.9291880848343084,a
AMF,25,0.134,0.1123832727766904,b
AMF,50,0.0475,0.00957427107756338,b
