AMF,Hg_C,Above_Concentration,sd,tukey
Control,0,851.0575,114.58644462442612,a
Control,25,915.5175,199.69210973813333,a
Control,50,821.2280000000001,136.88820245002853,a
AMF,0,2740.685,216.3690015536729,b
AMF,25,2271.29,712.6439071163102,b
AMF,50,2588.555,463.091758330175,b
