"","AMF_C","Hg_C","shoot_root_ratio","sd"
"1","AMF","0",1.98049155145929,0.0545259367011447
"2","AMF","25",2.04678892284894,0.034128809163847
"3","AMF","50",2.0994555353902,0.0506638103827883
"4","Control","0",2.00234123500146,0.0570378609753171
"5","Control","25",2.08186293110718,0.0281029911637713
"6","Control","50",2.0390798519302,0.0694982914897307
