AMF,Hg_C,Above_Concentration,sd,tukey
Control,0,27.09,7.111769587568672,a
Control,25,23.874,5.308891598064514,a
Control,50,24.3875,3.1982013174074373,a
AMF,0,40.597500000000004,9.458880747741777,ab
AMF,25,31.81,7.960072235853138,ab
AMF,50,43.0125,12.606023361869514,b
