AMF,Hg_C,Above_Content,sd,tukey
Control,0,1.495,0.21886068628239286,c
Control,25,1.556,0.3817459888459865,c
Control,50,1.6824999999999999,0.30934069675144044,ac
AMF,0,0.6925,0.15173990905493517,b
AMF,25,0.942,0.3176003778335284,ab
AMF,50,1.295,0.18230011885167086,a
