AMF,Hg_C,Root_Concentration,sd,tukey
Control,0,0.6675,0.3979426256803024,c
Control,25,8.274,4.329044929311776,b
Control,50,28.43,4.855580981372535,a
AMF,0,0.625,0.5394132614857245,c
AMF,25,7.77,3.595114740867112,b
AMF,50,21.85,4.369973302740724,a
