AMF,Hg_C,Root_Concentration,sd,tukey
Control,0,862.5,192.97063679914274,a
Control,25,855.25,207.82905635802388,a
Control,50,873.4,184.53400770589687,a
AMF,0,2273.5,392.8956604494379,b
AMF,25,2133.4,485.7981062128587,b
AMF,50,2264.25,404.0275361902948,b
