AMF,Hg,Stem_dry,sd,tukey
AMF,0,0.5974999999999999,0.0050000000000000044,a
AMF,25,0.602,0.016431676725154998,a
AMF,50,0.6,0.011547005383792526,a
Control,0,0.6275,0.017078251276599347,b
Control,25,0.63,0.040824829046386284,b
Control,50,0.618,0.010954451150103333,b
