AMF,Hg,MtPCs,sd,tukey
AMF,0,1.1302397177115844,0.34780569941660333,a
AMF,25,1.1343230317350945,0.29297238368186823,a
AMF,50,0.9342025582554416,0.13128327766344586,a
Control,0,1.0356435366503904,0.3507211702351901,a
Control,25,0.8204917245106746,0.308564421119413,a
Control,50,0.9424355301208795,0.09829677620801835,a
