AMF,Hg,MtSODb,sd,tukey
AMF,0,1.1468958608718436,0.22441276117956682,a
AMF,25,1.1654820309199516,0.3057938881876127,a
AMF,50,1.0473067865739702,0.19159506250490294,a
Control,0,1.049619945198974,0.3503775874511667,a
Control,25,0.9484757126607025,0.17815654219381283,a
Control,50,0.8321204981280191,0.15606706668412396,a
