AMF,Hg,MtRES,sd,tukey
AMF,0,1.0259165481245671,0.06349024611255033,ab
AMF,25,0.8906208183179986,0.2389189166874574,a
AMF,50,0.8476432955040395,0.13763155319365344,a
Control,0,1.003328434704959,0.09820627259265191,ab
Control,25,1.4388774640600852,0.21875661687491563,b
Control,50,0.7146602622168877,0.23834851415706973,a
