AMF,Hg,MtNAS1,sd,tukey
AMF,0,2.134295592051113,0.5976933325460614,bc
AMF,25,1.858515205589171,0.5890829151015418,bc
AMF,50,2.659057466469632,0.9671312324739638,c
Control,0,1.079433223943373,0.47262591200865395,ab
Control,25,1.3029277820486052,0.6766585732143591,ab
Control,50,1.0909870032525677,0.6595933827529419,ab
