AMF,Hg,ZIP2,sd,tukey
AMF,0,2.8280992569692343,0.7778030679172437,a
AMF,25,2.5893263111576443,0.48995943713940765,ab
AMF,50,2.41800905813738,1.0182150182844723,ab
Control,0,1.0866863990047793,0.4822619193205814,abc
Control,25,0.7682462333546103,0.4620098028596671,c
Control,50,0.9235265668586862,0.6111098378684879,bc
