AMF,Hg,MtSODc,sd,tukey
AMF,0,1.7611422339225862,0.36845164508660955,b
AMF,25,1.4621532109225985,0.33278440851329644,b
AMF,50,1.4913060781322263,0.40148802140783046,b
Control,0,1.037966190088432,0.3261888526799837,a
Control,25,1.0499603680374003,0.21526650155399743,a
Control,50,1.0432738738407772,0.34735408085033653,a
