AMF,Hg,MtSODa,sd,tukey
AMF,0,0.8688299877867317,0.13621302781598205,a
AMF,25,0.9318966454070599,0.21302692562425593,a
AMF,50,0.8496068018374794,0.21695734855140017,a
Control,0,1.016220115763874,0.19552882502482016,a
Control,25,0.9941734501308792,0.18634123349783363,a
Control,50,0.8614574478909202,0.16425910799230697,a
